2327, 'E',5,27,77,79, 'Wednesday December 11',2019
2326, 'M',4,12,63,70, 'Tuesday December 10',2019
2325, 'J',53,60,68,75, 'Monday December 09',2019
2324, 'N',40,42,66,71, 'Sunday December 08',2019
2323, 'J',1,25,65,78, 'Saturday December 07',2019
2322, 'L',22,33,53,61, 'Friday December 06',2019
2321, 'K',14,34,38,56, 'Thursday December 05',2019
2320, 'S',34,59,66,67, 'Wednesday December 04',2019
2319, 'R',26,33,34,69, 'Tuesday December 03',2019
2318, 'U',38,47,48,74, 'Monday December 02',2019
2317, 'V',8,18,71,73, 'Sunday December 01',2019
2316, 'Z',7,55,56,64, 'Saturday November 30',2019
2315, 'F',19,22,44,55, 'Friday November 29',2019
2314, 'Q',1,27,50,52, 'Thursday November 28',2019
2313, 'H',3,66,69,78, 'Wednesday November 27',2019
2312, 'C',15,21,42,47, 'Tuesday November 26',2019
2311, 'M',3,8,14,22, 'Monday November 25',2019
2310, 'K',17,50,55,71, 'Sunday November 24',2019
2309, 'D',16,31,36,53, 'Saturday November 23',2019
2308, 'Q',4,12,57,67, 'Friday November 22',2019
2307, 'Y',23,28,46,63, 'Thursday November 21',2019
2306, 'L',3,7,49,50, 'Wednesday November 20',2019
2305, 'J',16,17,43,75, 'Tuesday November 19',2019
2304, 'F',23,63,68,71, 'Monday November 18',2019
2303, 'Q',26,42,56,65, 'Saturday November 16',2019
2302, 'P',13,17,26,79, 'Friday November 15',2019
2301, 'W',5,24,49,69, 'Thursday November 14',2019
2300, 'G',5,11,46,48, 'Wednesday November 13',2019
2299, 'L',8,33,65,80, 'Tuesday November 12',2019
2298, 'F',20,51,61,80, 'Monday November 11',2019
2297, 'O',6,43,45,57, 'Sunday November 10',2019
2296, 'J',10,11,73,79, 'Saturday November 09',2019
2295, 'T',8,14,15,39, 'Friday November 08',2019
2294, 'Y',46,52,54,57, 'Thursday November 07',2019
2293, 'Q',21,42,51,74, 'Wednesday November 06',2019
2292, 'N',40,50,59,63, 'Tuesday November 05',2019
2291, 'J',6,16,37,38, 'Monday November 04',2019
2290, 'D',9,17,20,47, 'Sunday November 03',2019
2289, 'Y',11,28,63,65, 'Saturday November 02',2019
2288, 'K',26,41,46,80, 'Friday November 01',2019
2287, 'W',26,44,54,59, 'Thursday October 31',2019
2286, 'X',59,70,72,77, 'Wednesday October 30',2019
2285, 'E',9,29,30,43, 'Tuesday October 29',2019
2284, 'Q',59,69,79,80, 'Monday October 28',2019
2283, 'I',18,20,48,61, 'Sunday October 27',2019
2282, 'V',3,48,55,69, 'Saturday October 26',2019
2281, 'S',4,16,28,49, 'Friday October 25',2019
2280, 'G',9,35,39,48, 'Thursday October 24',2019
2279, 'M',15,36,37,66, 'Wednesday October 23',2019
2278, 'S',14,22,31,68, 'Tuesday October 22',2019
2277, 'Z',1,32,40,59, 'Monday October 21',2019
2276, 'Q',2,6,10,20, 'Sunday October 20',2019
2275, 'Y',27,48,64,71, 'Saturday October 19',2019
2274, 'G',14,36,56,66, 'Friday October 18',2019
2273, 'P',34,61,67,72, 'Thursday October 17',2019
2272, 'H',5,10,24,65, 'Wednesday October 16',2019
2271, 'Q',30,35,55,74, 'Tuesday October 15',2019
2270, 'C',4,7,14,26, 'Monday October 14',2019
2269, 'K',21,28,40,50, 'Sunday October 13',2019
2268, 'V',1,21,67,72, 'Saturday October 12',2019
2267, 'J',9,48,53,55, 'Friday October 11',2019
2266, 'R',12,35,38,47, 'Thursday October 10',2019
2265, 'V',9,17,32,60, 'Wednesday October 09',2019
2264, 'J',20,47,62,71, 'Tuesday October 08',2019
2263, 'M',23,58,59,66, 'Monday October 07',2019
2262, 'B',16,50,61,72, 'Sunday October 06',2019
2261, 'P',18,40,45,64, 'Saturday October 05',2019
2260, 'F',7,28,34,60, 'Friday October 04',2019
2259, 'E',14,17,57,65, 'Thursday October 03',2019
2258, 'T',11,14,27,46, 'Wednesday October 02',2019
